ID,samplegroup,qzip,CD,l,q1,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2aHaveSum,q2bOwnSum,q2ba_1,q2ba_2,q2ba_3,q2ba_4,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bc_1,q2bc_2,q2bc_3,q2bc_4,q2bd_1,q2bd_2,q2bd_3,q2bd_4,q2be_1,q2be_2,q2be_3,q2be_4,q2bf_1,q2bf_2,q2bf_3,q2bf_4,q3,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q4_7_other,q5aa_1,q5ab_1,q5ac_1,q5ad_1,q5ae_1,q5aa_2,q5aa_3,q5aa_4,q5ab_2,q5ab_3,q5ab_4,q5ac_2,q5ac_3,q5ac_4,q5ad_2,q5ad_3,q5ae_2,q5ae_3,q5ae_4,q5_TotSum,q5b_IndivSum,q5c_BundleSum,q5aSum,q5bSum,q5cSum,q5dSum,q5eSum,q5_TotSumR,q5b_IndivSumR,q5c_BundleSumR,q5aSumR,q5bSumR,q5cSumR,q5dSumR,q5eSumR,q5ba_1,q5bb_1,q5bc_1,q5bd_1,q5be_1,q5ca_1,q5cb_1,q5cc_1,q5cd_1,q5ce_1,q5ba_1R,q5bb_1R,q5bc_1R,q5bd_1R,q5be_1R,q5ca_1R,q5cb_1R,q5cc_1R,q5cd_1R,q5ce_1R,q5_other,q6,q7,q8,q8_5_other,q9_1,q9_2,q9_3,q9_4,q9_5,q10a_1,q10a_2,q10a_3,q10a_4,q10a_5,q10a_6,q10b_1,q10b_2,q10b_3,q10b_4,q10b_5,q10b_6,q10b_7,q10c_1,q10c_2,q10c_3,q10c_4,q10c_5,q10c_6,q10c_7,Q10d_1,Q10d_2,Q10d_3,Q10d_4,Q10d_6,q11a_1,q11a_2,q11a_3,q11a_4,q11a_5,q11a_6,q11a_7,q11a_8,q11a_9,q11a_10,q11a_11,q11b_1,q11b_2,q11b_3,q11b_4,q11b_5,q11b_6,q11b_7,q11b_8,q11b_9,q11b_10,q11b_11,q11b_12,q11c_1,q11c_2,q11c_3,q11c_4,q11c_5,q11c_6,q11c_7,q11c_8,q11c_9,q11c_10,q11c_11,q11c_12,Q11d_1,Q11d_2,Q11d_3,Q11d_4,Q11d_5,Q11d_6,Q11d_7,Q11d_8,Q11d_9,Q11d_10,q12a_1,q12a_2,q12a_3,q12b_4,q12b_5,Q12AWARECOUNT,Q12USECOUNT,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,Q14count,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_7,q15_8,q15_9,q15_8_other,q16a_1,q16a_2,q16a_3,q16a_4,q16a_5,q16a_6,q16a_7,q16a_8,q16b_9,q16b_10,q16b_11,q16b_12,q16b_13,q16b_14,q16b_15,q16c_16,q16c_17,q16c_18,q16c_19,q16c_20,q16c_21,q16c_22,q17ad_1_1,q17ad_1_2,q17ad_1_3,q17ad_1_4,q17ad_1_5,q17ad_1_6,q17ad_2_7,q17ad_2_8,q17ad_2_9,q17ad_2_10,q17ad_2_11,q17ad_2_12,q17bd_1_1,q17bd_1_2,q17bd_1_3,q17bd_1_4,q17bd_1_5,q17bd_1_6,q17bd_2_7,q17bd_2_8,q17bd_2_9,q17bd_2_10,q17bd_2_11,q17bd_2_12,q18,q19a_1,q19a_2,q19a_3,q19a_4,q19a_5,q19b_6,q19b_7,q19b_8,q19b_9,q20,q21a_1,q21a_2,q21a_3,q21a_4,q21a_5,q21b_6,q21b_7,q21b_8,q21b_9,q21a_1R,q21a_2R,q21a_3R,q21a_4R,q21a_5R,q21b_6R,q21b_7R,q21b_8R,q21b_9R,q22_1,q22_2,q22_1R,q22_2R,q23_1,q23_2,q24,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8,q25_9,q25_10,q25_11,q25_12,q25_13,q25_97_other,q26a,q26b_1,q26b_2,q26b_3,q26b_4,q26b_5,q26b_6,q26b_7,q26b_8,q26b_9,q26b_10,q26c_2,q26c_3,q26c_4,q26c_5,q26c_6,q26c_7,q26c_8,q26c_9,q26c_10,Q27a,q27a_1,q27a_2,q27a_3,q27a_4,q27a_5,q27a_6,q27ba_1,q27ba_2,q27ba_3,q27ba_4,q27ba_5,q27bb_1,q27bb_2,q27bb_3,q27bb_4,q27bc_1,q27bc_2,q27bc_3,q27bc_4,q27bd_1,q27bd_2,q27bd_3,q27bd_4,q27be_1,q27be_2,q27be_3,q27be_4,q27bf_1,q27bf_2,q27bf_3,q27bf_4,Q27b_SPS,Q27b_OthPub,Q27b_Priv,Q27b_HmSch,SPSonly,nonSPSonly,BothSchl,Gender,q28_1,q28_2,q28_3,q28_4,HHSize,q29,POV,POV135,POV400,q30,q30R,q31,ethnicity,q32_1,q32_2,q32_3,q32_4,q32_5,q32_6,q32_7,q32_8,q32_7_other,q33,q33_6_other,q34a,q34b,q35_1,q35_2,q35_3,q35_4,q35_5,q35_6,q35_7,q35_8,q35_9,q35_10,q35_10_other,q36,q36_10_other,q37_1,q37_2,q37_3,q37_4,q37_5,q37_6,q38,CensusTract,q6R,q20R,Age_range2,Age_range3,Age2_range2,Age2_range3,Age3_range2,Age3_range3,Age4_range2,Age4_range3,Age5_range2,Age5_range3,Age6_range2,Age6_range3,Age_range,Age2_range,Age3_range,Age4_range,Age5_range,Age6_range,HHage1,HHage2,HHage3,HHage4,Age_range5,EDUC,INCOME,SHA,KIDS,Weight_HH,Weight_indiv,centurylinkinternet,waveinternet,comcastinternet,cellularinternet,otherinternet,Segment,internetincomepercent100,internetincomepercentcat,Q5_indiv,Q5_bundle,Q5_free,q16summarygroups,q17countR,any_broadband_subscription,fixed_broadband_subscription,both_fixed_broadband_and_cell_data_plan,only_fixed_broadband_subscription,have_data_cell_plan,only_data_cell_plan,free_access_net,free_access_and_paid_subscription,other_access,without_internet_subscription,free_access_and_no_paid_sub,no_internet_access,unknown_service,no_response
4159,1,98115,5,,1,1,0,3,0,0,0,,2,2,1,,,,7,,,,1,,,,7,,,,7,,,,7,,,,1,1,4,,,,,,,,,1,0,0,1,,3,,,,,,,,,4,,,,,140,50,90,50,,,90,,9,6,7,6,,,7,,50,,,0,,,,,90,,6,,,99,,,,,7,,,2,99,2,,2,,,,,1,3,,,,,0,,,,,,,0,,,,,,,2,1,2,1,1,1,2,0,0,,,,,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,0,0,,,,,0,9,,,,,,,,,,4,5,5,1,2,3,5,2,2,2,3,4,5,4,2,4,3,5,4,5,5,5,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,1,1,1,1,2,2,2,2,1,4,3,3,3,3,2,2,3,2,3,1,1,3,1,4,2,4,1,1,3,5,3,5,2,4,2,5,5,3,2,3,4,3,3,5,1,5,10,0,0,,,,,,,,,,,1,59,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,1,12,0,0,0,50,5,3,8,8,,,,,,,,,1,,1,0,1,,,,,,,,,,,1,,6,,,,,,7,1900,4,5,4,4,,,,,,,,,,,3,,,,,,,,1,,8,3,5,2,2,0.994306,0.001,1,0,0,1,0,6,1.34,2,1,1,0,2,110,1,1,1,0,1,0,0,0,0,0,0,0,0,0
4160,1,98118,2,9,1,1,2,3,4,5,0,,5,5,1,,,,1,2,,,1,2,,,1,,,,1,,,,0,,,,2,99,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,0,,,,,0,0,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,1,4,3,,1,,,,,1,2,3,4,,,1,2,3,,,,,8,,,,,,,2,2,2,2,1,1,2,0,0,,,,,,,,1,2,0,0,0,,,,,,,,12,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,,,,,,,,,1,2,3,5,,,4,0,,,,,,,,,,4,5,5,1,2,2,5,2,1,1,3,4,4,5,1,2,4,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,1,3,1,1,3,1,1,3,1,5,1,4,2,3,4,5,3,5,1,5,2,4,3,2,2,2,4,4,4,4,2,5,0,0,0,,,,,,,,,,,2,30,35,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,2,13,0,0,0,1,1,2,1,1,,,,,,,,,2,,2,7,1,,,,,,,,,,,1,,6,,,,,,7,10300,5,5,2,2,2,2,,,,,,,,,1,2,,,,,1,1,,,3,3,6,2,2,0.9698475,1.9033675,0,0,0,0,0,2,0,0,0,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4161,1,98119,7,9,1,1,2,3,0,0,0,,3,3,1,,,,1,,,,1,,,,0,,,,0,,,,0,,,,2,1,4,,,,,,,,,1,0,0,1,0,3,,,,,,,,,3,,,,,140,140,,70,,,70,,9,9,,6,,,6,,70,,,70,,,,,,,6,,,6,,,,,,,,3,1,1,,1,,,,,1,2,3,,,,8,,,,,,,8,,,,,,,2,2,2,1,1,1,7,8,9,10,,,,,,,12,0,0,0,0,,,,,,,,12,,,,,,,,,,,,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,3,5,7,,,,,,,1,2,5,,,,3,0,,,,,,,,,,1,2,5,1,1,2,4,1,1,4,3,5,5,2,1,2,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,4,3,3,3,3,3,3,2,1,3,1,1,2,2,5,1,4,1,3,2,5,4,4,1,5,2,5,3,4,2,2,4,4,2,4,3,1,2,3,4,5,10,,,,,,,,,1,67,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,15,0,0,0,18,4,3,8,8,,,,,,,,,1,,1,0,6,,,,,,,,,,,1,,6,,,,,,7,6900,3,5,5,4,,,,,,,,,,,4,,,,,,,,,1,10,3,0,2,2,0.001,0.001,1,0,0,1,0,5,0,0,2,0,0,4,120,1,1,1,0,1,0,0,0,0,0,0,0,0,0
4162,1,98115,6,9,1,1,2,3,4,5,6,,6,6,1,,,,1,2,,,1,,,,1,,,,1,,,,1,2,,,3,1,4,,,,,,,,,1,0,0,1,0,3,,,,,,,,,3,,,,,288,288,,88,,,200,,11,11,,7,,,11,,88,,,200,,,,,,,7,,,11,,,,,,,,2,99,2,,1,,,,,1,2,3,4,6,,1,2,3,4,6,,,8,,,,,,,2,2,2,2,2,1,2,7,9,,,,,,,,1,2,7,9,0,,,,,,,,12,,,,,,,,,,,,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,0,0,9,,,,,,,,,1,2,3,5,,,4,0,,,,,,,,,,3,5,5,1,2,3,3,2,2,1,4,4,5,4,2,3,1,5,1,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,1,1,4,1,5,2,5,4,3,4,5,2,5,1,4,1,2,3,2,3,3,3,3,3,5,2,2,5,10,0,,,,,,,,,,,2,30,31,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,2,14,0,0,0,9,3,2,1,1,,,,,,,,,1,,2,1,1,,,,,,,,,,,1,,6,,,,,,7,3600,4,5,2,2,2,2,,,,,,,,,1,1,,,,,1,,,,3,3,7,2,2,1.2264931,2.3659542,1,0,0,1,0,8,1.73,2,2,0,0,3,120,1,1,1,0,1,0,0,0,0,0,0,0,0,0
4163,2,98118,2,,1,0,2,3,0,0,0,,2,2,0,,,,1,,,,1,,,,7,,,,7,,,,7,,,,3,3,,,,,,,,,,0,0,1,0,,0,,,,,,4,,,,,,,,213,0,213,0,,213,,,11,99,11,0,,11,,,0,,0,,,,,213,,,0,,99,,,,,11,,,,3,2,2,,1,,,,,2,3,,,,,0,,,,,,,0,,,,,,,1,2,2,1,1,1,0,0,0,,,,,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,3,,,,,,,,2,3,,,,,2,9,,,,,,,,,,4,4,5,2,4,3,4,4,4,2,5,5,5,5,4,4,0,5,5,4,5,5,2,3,3,2,3,3,3,3,3,3,3,2,0,2,2,1,2,2,2,2,2,2,2,0,3,3,2,3,1,2,2,2,1,3,4,3,3,4,4,2,3,4,3,3,3,3,2,2,4,3,2,3,3,3,2,3,4,3,3,2,98,0,0,0,,,,,,,,,,,2,66,64,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,10,0,0,0,35,5,2,3,3,,,,,,,,,1,,1,0,1,,,,,,,,,,,10,CAMBODIAN/KHOR,6,,,,,,5,11001,3,2,5,4,5,4,,,,,,,,,4,3,,,,,,,1,1,10,3,3,2,2,1.2321506,0.7885482,0,0,1,0,0,4,4.09,4,0,1,0,1,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4164,1,98107,6,,1,0,0,0,4,0,0,,1,1,7,,,,7,,,,7,,,,1,,,,7,,,,7,,,,4,3,,,,,,,,,,0,0,1,0,,0,,,,,,4,,,,,,,,0,0,0,0,,0,,,99,99,99,0,,99,,,0,,0,,,,,0,,,0,,99,,,,,99,,,,1,99,2,,5,,,,,4,,,,,,0,,,,,,,0,,,,,,,1,1,1,2,1,1,7,0,0,,,,,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,2,,,,,,,,6,0,,,,,0,9,,,,,,,,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,4,4,2,3,4,3,5,5,2,3,0,0,0,,,,,,,,,,,1,69,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,2,0,0,1,66,5,2,1,1,,,,,,,,,2,,2,1,6,,,,,,,,,,,1,,1,,,,,,3,4700,5,2,5,4,,,,,,,,,,,4,,,,,,,,,1,10,2,1,2,2,1.7187465,1.2182199,0,0,1,0,0,3,0,1,0,1,0,1,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1720,1,98125,5,9,1,1,2,3,4,5,0,,5,5,1,,,,1,,,,1,,,,1,,,,1,,,,0,,,,1,3,,,,,,,,,,0,0,1,0,0,0,,,,,,4,,,,,,,,185,0,185,0,,185,,,10,0,10,0,,10,,,0,,,,,,,185,,,0,,,,,,,10,,,,2,3,4,,1,,,,,1,2,3,4,,,1,3,4,,,,,8,,,,,,,2,2,2,2,1,1,2,0,0,,,,,,,,1,2,3,0,0,,,,,,,,12,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,5,0,9,,,,,,,,,1,2,3,5,,,4,0,,,,,,,,,,3,5,1,1,1,2,5,2,1,1,3,5,5,4,1,1,1,5,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,4,3,3,3,3,3,3,3,3,3,1,1,4,1,5,1,5,2,5,5,5,2,5,1,5,1,4,1,1,2,2,4,4,3,5,2,10,0,0,0,,,,,,,,,,,3,53,53,19,,,,,,,,1,2,,,,,,,,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0,0,0,1,0,,2,2,,,,4,12,0,0,0,23,5,2,1,1,,,,,,,,,1,,1,0,3,,,,,,,,,,,1,,1,2,,,,,5,200,4,5,4,3,4,3,1,1,,,,,,,2,2,1,,,,1,1,,,7,3,5,2,1,0.1562976,0.3203852,0,0,1,0,0,8,1.78,2,0,1,0,4,120,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1724,1,98144,2,9,1,1,2,3,4,5,6,,6,6,1,,,,1,2,,,1,,,,1,,,,1,,,,1,,,,4,1,,,,,,,,,,1,0,0,0,0,3,,,,,,,,,,,,,,130,130,,130,,,,,9,9,,9,,,,,130,,,,,,,,,,9,,,,,,,,,,,1,4,2,,2,,,,,1,3,4,,,,3,4,,,,,,8,,,,,,,2,1,2,2,1,1,2,7,8,9,10,,,,,,1,2,8,9,10,,,,,,,,12,,,,,,,,,,,,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,3,0,9,,,,,,,,,1,2,3,5,,,4,0,,,,,,,,,,1,5,5,1,2,2,1,1,1,1,4,4,5,4,1,4,3,5,4,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,2,2,3,3,2,1,1,3,1,5,2,4,3,4,4,5,3,5,1,4,2,3,2,2,3,3,3,3,3,5,2,1,6,8,0,,,,,,,,,,,2,41,45,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,15,0,0,0,20,4,2,1,1,,,,,,,,,1,,1,0,1,,,,,,,,,,,1,,6,,,,,,5,9400,5,5,3,3,3,3,,,,,,,,,2,2,,,,,,1,,,5,3,0,2,2,0.001,0.001,1,0,0,0,0,8,0,0,1,0,0,3,120,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1652,4,98126,1,9,1,1,2,3,4,5,0,,5,5,1,,,,1,,,,1,,,,1,,,,1,,,,0,,,,1,3,,,,,,,,,,0,0,1,0,0,0,,,,,,4,,,,,,,,280,0,280,0,,280,,,11,0,11,0,,11,,,0,,,,,,,280,,,0,,,,,,,11,,,,2,3,2,,1,,,,,1,3,,,,,2,3,4,,,,,1,2,3,4,,,,2,2,2,2,1,1,2,0,0,,,,,,,,1,2,9,0,0,,,,,,,,1,3,8,9,,,,,,,,,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,0,0,9,,,,,,,,,5,0,,,,,1,0,,,,,,,,,,4,5,1,1,2,2,3,2,1,1,2,3,5,5,2,3,4,3,2,5,3,4,3,2,2,2,2,2,2,2,2,2,3,2,1,2,1,1,2,1,1,1,2,1,2,1,3,3,3,2,2,2,2,2,2,2,2,1,2,3,2,2,3,2,2,1,5,4,3,4,4,3,4,4,5,2,2,4,4,3,4,1,10,0,0,0,,,,,,,,,,,3,55,55,18,,,,,,,,1,2,,,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,0,,,,2,0,0,0,0,0,,1,1,,,,4,10,0,0,1,40,5,2,3,3,,,,,,,,,1,,1,0,1,,,,,,,,,,,1,,6,,,,,,6,0,4,4,4,4,4,4,1,1,,,,,,,3,3,1,,,,1,,1,,8,3,3,2,1,1.1648366,1.6620804,0,0,1,0,0,5,5.38,4,0,1,0,4,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1656,1,98102,3,,1,1,2,3,0,0,0,,3,3,1,,,,1,,,,1,,,,7,,,,7,,,,7,,,,2,3,4,,,,,,,,,0,0,0,1,,0,,,,,,,,,3,,,,,45,45,0,0,,,45,,5,5,99,0,,,5,,0,,,45,,,,,0,,0,,,5,,,,,99,,,3,1,1,,3,,,,,3,,,,,,1,2,3,,,,,0,,,,,,,2,2,2,1,1,2,0,0,0,,,,,,,,1,2,8,9,0,,,,,,,,0,,,,,,,,,,,,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,9,,,,,,,,,1,2,5,,,,3,9,,,,,,,,,,4,4,5,1,3,2,5,4,5,5,3,5,4,4,4,5,5,4,4,5,5,0,1,2,1,1,2,4,1,4,1,2,2,3,3,0,2,3,2,2,3,2,2,2,1,2,3,2,2,3,3,1,1,3,3,2,4,2,4,2,1,2,3,2,3,0,4,2,4,5,4,3,4,3,0,0,3,0,3,0,0,2,2,1,5,10,,,,,,,,,,,2,57,66,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,2,12,0,0,0,25,5,2,1,1,,,,,,,,,1,,2,1,1,,,,,,,,,,,1,,6,,,,,,4,6100,3,2,4,4,5,4,,,,,,,,,3,4,,,,,,,1,1,8,2,5,2,2,1.6436376,1.3959786,0,0,1,1,0,4,0.43,1,1,0,0,1,40,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1612,1,98105,4,,1,1,2,3,4,0,6,,5,5,1,,,,1,,,,1,,,,1,,,,7,,,,1,,,,1,3,,,,,,,,,,0,0,1,0,,0,,,,,,4,,,,,,,,200,0,200,0,,200,,,11,99,11,0,,11,,,0,,0,,,,,200,,,0,,99,,,,,11,,,,2,99,2,,1,,,,,1,2,3,4,6,,1,3,6,,,,,0,,,,,,,2,2,2,2,2,1,3,0,0,,,,,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,,,,,,,,,1,2,3,5,,,4,9,,,,,,,,,,4,5,5,1,3,5,5,3,4,5,4,5,5,4,1,4,2,5,4,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,3,2,3,3,1,3,3,1,1,3,2,1,3,3,4,2,1,2,3,5,5,3,3,2,4,5,4,3,1,2,3,4,3,4,4,2,1,3,4,5,,,,,,,,,,,2,0,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,15,0,0,0,49,5,2,1,1,,,,,,,,,1,,1,0,6,,,,,,,,,,,1,,6,,,,,,7,4100,4,4,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,2,0.001,0.001,0,0,1,0,0,6,0,0,0,1,0,1,120,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1616,3,98115,4,,2,7,0,0,0,0,0,,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,7,8,,,,,,,,,,0,0,0,0,,0,,,,,,,,,,,,,,0,0,,0,,,,,0,0,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,8,98,99,,5,,,,,0,,,,,,0,,,,,,,0,,,,,,,1,1,1,1,1,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,3,4,5,8,,,,1,2,3,5,,,4,2,3,5,6,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,3,3,3,3,3,1,3,5,5,1,5,1,5,1,1,1,1,1,5,1,5,1,5,5,5,5,0,3,0,3,5,5,1,3,0,0,0,,,,,,,,,,,1,68,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,30,5,2,1,1,,,,,,,,,2,,2,7,6,,,,,,,,,,,0,,4,,,,,,5,3600,8,1,5,4,,,,,,,,,,,4,,,,,,,,,1,10,3,1,1,2,0.4763051,0.2746212,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1537,2,98133,5,9,1,1,2,3,4,0,0,,4,4,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,4,3,5,,,,,,,,,0,0,1,0,0,0,,,,,,3,,,,,,,,65,65,,0,,65,,,6,6,,0,,6,,,0,,65,,,,,,,,0,,6,,,,,,,,,2,2,2,,2,,,,,1,2,3,4,,,8,,,,,,,8,,,,,,,2,2,2,2,1,1,4,7,9,,,,,,,,12,0,0,0,0,,,,,,,,12,,,,,,,,,,,,2,1,1,2,1,1,2,1,2,1,2,0,2,2,2,4,0,3,7,,,,,,,,1,2,,,,,2,0,,,,,,,,,,3,4,4,1,2,3,5,2,2,4,2,4,4,4,1,3,3,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,2,1,3,1,2,2,1,1,2,2,5,1,5,2,3,2,5,4,4,1,5,1,4,3,4,2,2,4,4,3,3,1,5,10,0,0,,,,,,,,,,,1,59,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,1,10,0,0,0,57,5,2,3,3,,,,,,,,,6,senior tax-credit housing,2,7,2,,,,,,,,,,,1,,6,,,,,,6,401,4,5,4,4,,,,,,,,,,,3,,,,,,,,1,,8,3,3,2,2,1.2727364,1.1785418,0,0,1,0,0,5,1.25,2,1,0,0,2,120,1,1,0,1,0,0,1,1,0,0,0,0,0,0
1538,3,98133,5,,1,0,2,3,0,0,6,,3,3,7,,,,1,,,,1,,,,7,,,,7,,,,1,,,,2,3,,,,,,,,,,0,0,1,0,,0,,,,,,4,,,,,,,,100,0,100,0,,100,,,8,99,8,0,,8,,,0,,0,,,,,100,,,0,,99,,,,,8,,,,1,3,1,,3,,,,,2,3,,,,,0,,,,,,,0,,,,,,,1,2,2,1,1,1,3,5,6,7,8,9,10,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,0,0,1,,,,,,,,,2,0,,,,,1,9,,,,,,,,,,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,2,2,1,1,2,2,2,2,3,3,3,0,0,0,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,2,5,5,5,4,4,4,5,4,4,5,5,1,1,5,5,1,1,2,3,5,,,,,,,,,,,2,0,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,2,2,1,1,1,62,5,3,1,1,,,,,,,,,2,,2,0,9,,,,,,,,,,,1,,3,,,,,,3,401,5,0,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,0.0122414,0.001,0,0,1,0,0,4,8.42,6,0,1,0,5,70,1,1,0,1,0,0,0,0,0,0,0,0,0,0
